"","rf_test"
"1",45.402072029988
"2",74.0118762840271
"3",73.5416540837606
"4",54.0228882297515
"5",22.0063084013621
"6",22.0063084013621
"7",22.9152545852025
"8",20.5819109666506
"9",36.9317757682164
"10",46.8162434977691
"11",26.7534747563759
"12",18.9431612480164
"13",25.2872362845103
"14",20.7579597934723
"15",20.7579597934723
"16",30.9489582085291
"17",20.0726132915417
"18",55.8234271485646
"19",35.2575155448278
"20",31.8454440159162
"21",67.3964851590156
"22",54.4567390092214
"23",24.8745766736984
"24",49.574146401596
"25",25.5679171502113
"26",57.6541236145019
"27",21.7246433494568
"28",21.7246433494568
"29",30.2395011747996
"30",51.3938455558777
"31",24.6585465224266
"32",23.5614303826014
"33",18.9431612480164
"34",72.0799382621447
"35",55.2018013000488
"36",21.8235529511134
"37",19.5056513705571
"38",52.1734305714289
"39",42.8577939024607
"40",33.2832836525281
"41",34.5927202966054
"42",15.4767356755813
"43",37.5460121389309
"44",51.0364310466131
"45",76.38646432724
"46",76.1820960442861
"47",45.1574277035395
"48",92.495062964185
"49",55.7347226399739
"50",45.8732388375918
"51",47.5739057605743
"52",33.5933497258005
"53",55.873453738149
"54",17.0694902620792
"55",40.5745170696894
"56",29.9815696905613
"57",20.534386503156
"58",28.8559893442154
"59",55.5953491952896
"60",43.851320458285
"61",74.4440472732544
"62",73.4611528802236
"63",43.8906544468085
"64",146.596367947896
"65",19.3623008728027
"66",77.450760645167
"67",25.4597819869042
"68",35.9473666316668
"69",71.6847254295349
"70",26.5988491553227
"71",63.1099175970713
"72",29.932333681488
"73",17.4865073307991
"74",78.9399317454021
"75",32.5495557534536
"76",79.8243270549774
"77",36.3263380141894
"78",74.1674868645032
"79",21.3095818719864
"80",69.2097810211817
"81",54.6114854663849
"82",57.9438308520635
"83",21.7124693005323
"84",73.150333438015
"85",53.4704562113444
"86",69.4094717962265
"87",56.0046422478993
"88",56.0046422478993
"89",135.775435298475
"90",55.2435791948318
"91",57.8073543355306
"92",56.737238914601
"93",31.8216570262909
"94",32.5602991812388
"95",59.6931596032779
"96",95.3028272480329
"97",17.9874446977297
"98",40.5974002839406
"99",60.312388135306
"100",40.0912373294831
"101",54.2677349357923
"102",71.6847254295349
"103",60.1341695055008
"104",28.0571199908813
"105",56.0889929204305
"106",13.1126338185708
"107",36.4298488257726
"108",25.79731723996
"109",87.2240577457428
"110",70.219166428566
"111",15.577995248572
"112",39.618275982062
"113",51.0003116548856
"114",63.468990494283
"115",12.7537883520842
"116",55.1991372792562
"117",136.404721688716
"118",55.1817492319107
"119",80.8467964144389
"120",35.0129875854629
"121",32.7147753396352
"122",59.0580220582962
"123",92.7171496065776
"124",39.3874261879762
"125",51.1192996067206
"126",27.9282290364583
"127",39.9178149927775
"128",77.3779981644948
"129",23.1474964225689
"130",12.5756827283621
"131",81.7036508749326
"132",51.8529312317848
"133",26.1697445301692
"134",30.5693103504181
"135",100.511628750738
"136",54.89941162618
"137",59.7024374092102
"138",67.4612015220006
"139",31.4024253706296
"140",37.8699489361445
"141",38.6248117498398
"142",32.8652030073802
"143",24.371627051727
"144",32.8590474807024
"145",74.4670859313329
"146",22.4272137990316
"147",21.8421415048599
"148",23.7972406998634
"149",75.73125651474
"150",16.6173779970964
"151",16.1689009169896
"152",19.5883792364438
"153",81.8091587269465
"154",39.9862575979392
"155",21.6145393874248
"156",55.3670261107127
"157",42.2038639140129
"158",37.288291943868
"159",83.3424716753324
"160",41.734412236627
"161",78.0322454070409
"162",81.4152970733324
"163",19.0492644724289
"164",52.6683777404149
"165",29.2892259059509
"166",22.2564464591344
"167",13.0875742334763
"168",53.3185872889201
"169",62.6457137981415
"170",42.1037932057063
"171",42.0467029940287
"172",76.1376134605408
"173",12.9594657227675
"174",36.3263380141894
"175",32.4156426112016
"176",33.2832836525281
"177",92.0289469790141
"178",31.4024253706296
"179",21.4013489456177
"180",47.9132822428703
"181",65.3714859219869
"182",48.1896283257961
"183",54.8307985467275
"184",63.9514042272567
"185",52.5816793745994
"186",33.7107981231053
"187",47.518178306516
"188",84.2088482486725
"189",53.6494901982943
"190",33.8588901119868
"191",22.6743487387101
"192",55.7237569407781
"193",24.9887545986493
"194",58.4328068623225
"195",75.6047714525859
"196",59.7052655855179
"197",68.6042131214142
"198",55.2018013000488
"199",142.2581220644
"200",47.1869038707097
"201",43.4423886452357
"202",21.868780707105
"203",27.8728578822136
"204",52.495150579071
"205",42.1848931117137
"206",41.6409129814943
"207",43.8985761168242
"208",52.4028462075233
"209",56.0889929204305
"210",56.0889929204305
"211",15.1113880285263
"212",27.6981407283783
"213",34.6098336031437
"214",34.4836752134641
"215",23.59854144152
"216",54.7940024032593
"217",13.067142240421
"218",38.5038021037022
"219",16.2088872625192
"220",23.2390267034849
"221",23.2390267034849
"222",24.0663436908722
"223",21.0680426700592
"224",49.0901719978015
"225",78.7301423463822
"226",20.0989489626964
"227",53.8296749703407
"228",43.7582169410944
"229",70.6369077448527
"230",55.2018013000488
"231",55.2018013000488
"232",19.479115696311
"233",82.917715738678
"234",82.917715738678
"235",55.3264951068878
"236",67.8478204046885
"237",57.6170985448838
"238",30.220640489912
"239",62.5238145755768
"240",21.861358106931
"241",14.2107345394532
"242",68.1055342142105
"243",80.9036525044442
"244",76.2137970701854
"245",51.8972059001605
"246",19.3623008728027
"247",12.506387159578
"248",31.4115403970082
"249",48.1815681266148
"250",27.921953523159
"251",43.8393028573672
"252",54.6720434562683
"253",36.6592238768896
"254",62.6911394796371
"255",55.2018013000488
"256",40.0594755442937
"257",80.5439504200617
"258",34.3144707735697
"259",63.4500514520009
"260",79.231902501742
"261",31.7924730499268
"262",36.2286820947011
"263",90.4319804802577
"264",19.3623008728027
"265",39.2558731807073
"266",40.139513686943
"267",55.2018013000488
"268",81.5773051136017
"269",54.1059858155569
"270",74.1950885690053
"271",80.2390985944112
"272",45.4219592235883
"273",36.2414230380932
"274",20.6201150240819
"275",46.9891570828755
"276",32.5495557534536
"277",66.0651097253164
"278",26.7101095979214
"279",19.3623008728027
"280",46.2219687811533
"281",76.5633298493702
"282",34.3442844036738
"283",31.9975245358467
"284",82.917715738678
"285",26.3162430388053
"286",70.7115832989375
"287",46.0388977361838
"288",35.7625644107818
"289",48.8802821805954
"290",28.807719181331
"291",48.3577821133931
"292",19.3623008728027
"293",19.3623008728027
"294",76.2253336516062
"295",44.3725791957537
"296",75.6396782886505
"297",72.0485990100225
"298",21.4852104829153
"299",46.6035554510355
"300",18.0517071237723
"301",50.0022602779389
"302",61.4911664025625
"303",53.1602783488592
"304",20.6035207460324
"305",54.1311225312551
"306",17.4306019075712
"307",86.18148422877
"308",52.3661202658574
"309",39.8301677614848
"310",33.478380939134
"311",75.1772336878777
"312",28.8771183385849
"313",30.220640489912
"314",48.4253321546793
"315",62.5824065932909
"316",73.748192500639
"317",30.426452323405
"318",72.200314133072
"319",62.7858187688192
"320",56.1018428321202
"321",56.1018428321202
"322",49.127433022054
"323",55.1458079082489
"324",47.7515354679108
"325",56.2353767729441
"326",63.1286367464065
"327",33.0486651216269
"328",62.7700663936978
"329",35.4125126373211
"330",65.1087916384379
"331",21.8235529511134
"332",49.67861416893
"333",50.6880821163178
"334",11.8771538581689
"335",46.4024087525686
"336",17.4306019075712
"337",31.8910644680659
"338",54.2516381079515
"339",22.9353915261586
"340",38.8713700422605
"341",19.689454605484
"342",49.3819300596237
"343",28.4148711934407
"344",60.021135438029
"345",39.3849806319873
"346",53.9660227738698
"347",37.6023255196254
"348",21.7021272420883
"349",37.288291943868
"350",94.5685635583242
"351",25.5034025537809
"352",44.3008647034247
"353",19.3623008728027
"354",55.5964547756831
"355",25.544653779308
"356",19.3623008728027
"357",18.9431612480164
"358",18.9431612480164
"359",45.0081848065058
"360",40.7902322941304
"361",50.0703761244456
"362",56.5196565093994
"363",87.6278639907837
"364",72.8165208671888
"365",21.8123751505216
"366",37.3590767877897
"367",48.4542390992165
"368",60.9949649341583
"369",19.3623008728027
"370",76.1820960442861
"371",57.3572417598406
"372",23.5532349692663
"373",13.2382353666623
"374",54.9330846381823
"375",51.2773209592184
"376",47.7221081703186
"377",30.7042961039861
"378",31.8216570262909
"379",45.0403347700119
"380",28.5927103025754
"381",28.6016413025538
"382",21.4210351535797
"383",66.6781282258352
"384",73.6394763654073
"385",65.9789668580373
"386",22.8895016531785
"387",71.2496792310079
"388",55.2018013000488
"389",36.5022159988721
"390",73.8568529132843
"391",31.2467258111318
"392",21.6128432861328
"393",78.1930787749608
"394",25.1843883658409
"395",71.6970048947016
"396",74.049908500417
"397",22.6447635931969
"398",55.2018013000488
"399",26.1542411870321
"400",82.9094061508179
"401",55.0866154032389
"402",31.4024253706296
"403",40.9179801706314
"404",19.3623008728027
"405",34.3007326836268
"406",25.8809886063178
"407",26.1697445301692
"408",25.6735311908722
"409",29.8844864597638
"410",31.7490932449341
"411",40.5181504446189
"412",51.1306019539197
"413",78.4976378907521
"414",31.0935718726476
"415",13.3180721964916
"416",38.9733602434794
"417",71.0630253872554
"418",18.1505308127403
"419",21.3568534342448
"420",61.0569138925552
"421",30.9205342199961
"422",65.4138282691955
"423",17.4306019075712
"424",17.4306019075712
"425",76.109743919754
"426",55.2018013000488
"427",64.1028580369473
"428",94.6349966124217
"429",63.0660364711126
"430",37.6043651849428
"431",21.8538049383005
"432",32.3372100564321
"433",68.2931636283874
"434",30.8212424491882
"435",42.6161699373881
"436",47.3080742949168
"437",26.8877091178576
"438",37.0534614299377
"439",19.3623008728027
"440",63.2347349304199
"441",37.0854064852238
"442",55.2018013000488
"443",52.0165629508972
"444",51.9434953179677
"445",67.2077506426494
"446",40.8501181917509
"447",30.8798078635533
"448",66.7069165543874
"449",48.1034044115384
"450",25.9964791561762
"451",59.0174443006357
"452",76.6885818829855
"453",14.0112402710756
"454",83.8921815117518
"455",22.8609488463481
"456",27.9560378709475
"457",55.0239538113912
"458",53.1806162465413
"459",28.8624650766849
"460",52.2233603696187
"461",44.5154662746429
"462",29.7395292281151
"463",72.7579789611816
"464",21.6115174152374
"465",144.536397034136
"466",128.092806885338
"467",81.2330747264226
"468",53.5360004604975
"469",52.3950784104029
"470",55.2018013000488
"471",38.65099583052
"472",29.925467347757
"473",75.527625380516
"474",23.8069081511815
"475",56.6629317443212
"476",86.3975109411239
"477",36.6493927439054
"478",41.3862026472728
"479",72.2150070456187
"480",71.6288581209818
"481",42.3796563781102
"482",70.913838894399
"483",55.1991372792562
"484",49.4573784478665
"485",34.2821908539772
"486",59.0174443006357
"487",37.9121325812022
"488",31.3830313013713
"489",72.5295168749491
"490",22.9208279773076
"491",22.9208279773076
"492",22.4787659086227
"493",22.4787659086227
"494",20.7800955992381
"495",129.07911709404
"496",70.418779130745
"497",65.5739534675598
"498",49.0385344027201
"499",52.6782720399221
"500",56.7376211430232
"501",50.4000014935812
"502",143.507480776914
"503",82.9094061508179
"504",23.1014318566799
"505",16.4738446713765
"506",63.6641050637563
"507",33.799258759435
"508",22.357160407726
"509",14.7648376169443
"510",17.7011404776176
